Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
BLADEZ TOYS,BLADEZ,5531549,5060158854813,Hot Wheels R/C Drift 'N' Fly Drone,HW85481,18,,49.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531549.json
BLADEZ TOYS,BLADEZ,5531550,5061051300674,Hot Wheels Monster Marker Set,HW30067,5.6,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531550.json
BLADEZ TOYS,BLADEZ,5531551,5061051301084,Bladez RPM R/C 1:10 Ultimate Racer (Orange/Blue),BT30108,17.5,,54.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531551.json
Cactus Games,Apples to Apples,5531362,830938007167,Apples to Apples Bible Edition Game,CGD716,15,,30,6,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531362.json
Cactus Games,Bible Inklings,5531367,830938007259,Bible Inklings Trivia Game,CGD725,15,,30,6,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531367.json
Cactus Games,Cranium,5531365,830938007297,Cranium Bible Edition Game,CGD729,15,,30,6,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531365.json
Cactus Games,Operation,5531366,830938007211,Operation Noah's Ark Edition Game,CGD721,15,,30,4,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531366.json
Cactus Games,Outburst,5531363,830938007242,Bible Outburst Game,CGD724,15,,30,6,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531363.json
Cactus Games,Scattergories,5531364,830938007280,Scattergories Bible Editon Game,CGD728,15,,30,6,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531364.json
Cactus Games,Tales of Glory,5531368,603154505386,Nativity Playset,CGD8220,17.5,,35,4,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531368.json
Cactus Games,Tales of Glory,5531369,603154506338,Galilean Boat with Jesus & Apostles Playset,CGD8223,17.5,,35,4,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531369.json
Cactus Games,Wee Believers,5531370,853922006618,Louie the Lamb Prayer Buddy,W2017208,15,,30,24,0,Yes,210,Cactus Games Setup Sheet Template Version 2026.xlsx,products/cactus-games/DS5531370.json
